jugador;partidos_amonestado
Akmal Mozgovoy;1
Akram Afif;2
Alaeddine Zouhir;1
Alan;1
Alan Franco;3
Alan Mozo;1
Albert Grønbæk;1
Alberto Riccardi;2
Albian Hajdari;2
Aldo Corzo;1
Alee Tneich 'Sisi';1
Alejandro Bran;1
Aleksa Terzić;2
Aleksandar Mitrović;3
Aleksandr Marochkin;1
Aleksejs Saveljevs;2
Aleksey Batrakov;2
Alessandro Bastoni;5
Alessandro Buongiorno;1
Alessandro Circati;2
Alessandro Golinucci;1
Alessandro Tosi;2
Alessio Curci;1
Alessio Hasler;1
Alex Baena;2
Alex Matthias Tamm;1
Alex Moussounda;1
Alex Rufer;2
Alex Valera;1
Alex Zendejas;3
Alexander Bah;1
Alexander Bernhardsson;1
Alexander Djiku;1
Alexander González;1
Alexander Isak;2
Alexander Prass;2
Alexander Satariano;3
Alexander Schlager;2
Alexander Sørloth;1
Alexis Gamboa;2
Alexis Mac Allister;3
Alexis Saelemaekers;1
Alexis Sánchez;2
Alexis Vega;2
Alfeus Leevi;1
Alfons Amade;1
Alford Velaphi;1
Alhassane Bangoura;1
Ali Abdi;2
Ali Al Busaidi;2
Ali Al-Bulaihi;1
Ali Alipour;1
Ali Faez Atiyah;1
Ali Lajami;1
Ali Madan;1
Ali Majrashi;3
Ali McCann;1
Ali Reza Panahi;2
Ali Saleh;1
Alibek Davronov;1
Alibek Kasym;1
Alidu Seidu;1
Alimardon Shukurov;1
Aliou Balde;1
Aliou Dieng;4
Alireza Beiranvand;1
Alireza Jahanbakhsh;3
Alistair Johnston;4
Allen Yanes;1
Ally Samatta;1
Almahdi Ali;1
Almoez Ali;1
Alonso Martínez;1
Alpha Turay;1
Alphonce Msanga;1
Alphonso Davies;2
Altay Bayındır;2
Altayeb Abaker;2
Aly Abeid;1
Aly-Enzo Hamon;1
Amable Pinzón;1
Amad Diallo;2
Amadou Onana;1
Amar Dedić;2
Amar Haïdara;1
Amar Memić;1
Amas Obasogie;1
Ameed Sawafta;2
Amer Jamous;2
Amid Mahajna;2
Amine Benadi;3
Amine Gouiri;1
Amine Hiver;1
Amine Zouhzouh;1
Amir Al-Ammari;1
